pathways,genes
BIOCARTA_EIF4_PATHWAY,AKT1 EIF4A1 EIF4A2 EIF4E EIF4EBP1 EIF4G1 EIF4G3 GHR IRS1 MAPK1 MAPK14 MAPK3 MKNK1 MTOR PABPC1 PDK2 PDPK1 PIK3CA PIK3R1 PRKCA PRKCB PTEN RPS6KB1
BIOCARTA_EIF_PATHWAY,EEF2 EEF2K EIF1 EIF1AX EIF2S1 EIF2S2 EIF2S3 EIF3A EIF4A1 EIF4A2 EIF4E EIF4G1 EIF4G3 EIF5 EIF6
BIOCARTA_EPHA4_PATHWAY,ACTA1 EPHA4 EPHB1 FYN ITGA1 ITGB1 L1CAM LYN SELP
BIOCARTA_EPONFKB_PATHWAY,ARNT CDKN1A EPO EPOR GRIN1 HIF1A JAK2 NFKB1 NFKBIA RELA SOD2
BIOCARTA_EPO_PATHWAY,CSNK2A1 ELK1 EPO EPOR FOS GRB2 HRAS JAK2 JUN MAP2K1 MAPK3 MAPK8 PLCG1 PTPN6 RAF1 SHC1 SOS1 STAT5A STAT5B
BIOCARTA_ERK5_PATHWAY,AKT1 CREB1 GRB2 HRAS MAPK1 MAPK3 MAPK7 MEF2A MEF2C MEF2D NTRK1 PIK3CA PIK3CG PIK3R1 PLCG1 RPS6KA1 SHC1
BIOCARTA_ERK_PATHWAY,EGFR ELK1 GNAS GNB1 GNGT1 GRB2 HRAS IGF1R ITGB1 MAP2K1 MAP2K2 MAPK1 MAPK3 MKNK1 MKNK2 MYC NGF NGFR PDGFRA PPP2CA PTPRR RAF1 RPS6KA1 RPS6KA5 SHC1 SOS1 SRC STAT3
BIOCARTA_ERYTH_PATHWAY,CSF2 CSF3 EPO FLT3 IGF1 IL11 IL1A IL3 IL6 IL9 KITLG TGFB1 TGFB2 TGFB3
BIOCARTA_ETS_PATHWAY,CSF1 CSF1R DDX20 E2F1 E2F4 ETS1 ETS2 ETV3 FOS HDAC2 HDAC5 HRAS JUN NCOR2 RBL1 RBL2 SIN3A SIN3B
BIOCARTA_FCER1_PATHWAY,BTK CALM1 CALM3 ELK1 FCER1A FCER1G FOS GRB2 HRAS JUN LYN MAP2K1 MAP2K4 MAP2K7 MAP3K1 MAPK1 MAPK3 MAPK8 NFATC1 NFATC2 NFATC3 NFATC4 PAK2 PIK3CA PIK3CG PIK3R1 PLA2G4A PLCG1 PPP3CA PPP3CB PPP3CC PRKCB RAF1 SHC1 SOS1 SYK VAV1
BIOCARTA_FEEDER_PATHWAY,HK1 KHK LCT MPI PGM1 PYGL PYGM TPI1 TREH
BIOCARTA_FIBRINOLYSIS_PATHWAY,CPB2 F13A1 F2 F2R FGA FGB FGG PLAT PLAU PLG SERPINB2 SERPINE1
BIOCARTA_FMLP_PATHWAY,CALM1 CALM3 CAMK1 CAMK1G ELK1 FPR1 GNA15 GNB1 GNGT1 HRAS MAP2K1 MAP2K2 MAP2K3 MAP2K6 MAP3K1 MAPK1 MAPK14 MAPK3 NCF2 NFATC1 NFATC2 NFATC3 NFATC4 NFKB1 NFKBIA PAK1 PIK3C2G PLCB1 PPP3CA PPP3CB PPP3CC RAC1 RAF1 RELA
BIOCARTA_FREE_PATHWAY,GPX1 GSR GSS IL8 NFKB1 NOX1 RELA SOD1 TNF XDH
BIOCARTA_G1_PATHWAY,ABL1 ATM ATR CCNA1 CCND1 CCNE1 CDC25A CDK1 CDK2 CDK4 CDK6 CDKN1A CDKN1B CDKN2A CDKN2B DHFR E2F1 GSK3B HDAC1 RB1 SKP2 SMAD3 SMAD4 TFDP1 TGFB1 TGFB2 TGFB3 TP53
BIOCARTA_G2_PATHWAY,ATM ATR BRCA1 CCNB1 CDC25A CDC25B CDC25C CDC34 CDK1 CDKN1A CDKN2D CHEK1 CHEK2 EP300 GADD45A MDM2 MYT1 PLK1 RPS6KA1 TP53 WEE1 YWHAH YWHAQ
BIOCARTA_GH_PATHWAY,GH1 GHR GRB2 HNF1A HRAS INS INSR IRS1 JAK2 MAP2K1 MAPK1 MAPK3 PIK3CA PIK3CG PIK3R1 PLCG1 PRKCA PRKCB PTPN6 RAF1 RPS6KA1 SHC1 SLC2A4 SOCS1 SOS1 SRF STAT5A STAT5B
BIOCARTA_GLEEVEC_PATHWAY,AKT1 BAD BCR CRKL FOS GRB2 HRAS JAK2 JUN MAP2K1 MAP2K4 MAP3K1 MAPK3 MAPK8 MYC PIK3CA PIK3CG PIK3R1 RAF1 SOS1 STAT1 STAT5A STAT5B
BIOCARTA_GPCR_PATHWAY,ADCY1 CALM1 CALM3 CREB1 ELK1 FOS GNAI1 GNAQ GNAS GNB1 GNGT1 HRAS JUN MAP2K1 MAPK3 NFATC1 NFATC2 NFATC3 NFATC4 PLCG1 PPP3CA PPP3CB PPP3CC PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCB RAF1 RPS6KA3
BIOCARTA_GRANULOCYTES_PATHWAY,C5 CSF3 ICAM1 IFNG IL1A IL8 ITGAL ITGAM ITGB2 SELL SELP SELPLG TNF
BIOCARTA_GSK3_PATHWAY,AKT1 APC AXIN1 CCND1 CD14 CTNNB1 DVL1 EIF2AK2 FZD1 GJA1 GNAI1 GSK3B IRAK1 LBP LEF1 LY96 MYD88 NFKB1 PDPK1 PIK3CA PIK3R1 PPP2CA RELA TIRAP TLR4 TOLLIP WNT1
BIOCARTA_HCMV_PATHWAY,AKT1 CREB1 MAP2K1 MAP2K2 MAP2K3 MAP2K6 MAP3K1 MAPK1 MAPK14 MAPK3 NFKB1 PIK3CA PIK3CG PIK3R1 RB1 RELA SP1
BIOCARTA_HER2_PATHWAY,CARM1 EGFR EP300 ERBB3 ERBB4 ESR1 GRB2 GRIP1 HRAS IL6 IL6R IL6ST MAP2K1 MAPK1 MAPK3 PIK3CA PIK3CG PIK3R1 RAF1 SHC1 SOS1 STAT3
BIOCARTA_HIF_PATHWAY,ARNT ASPH COPS5 CREB1 EDN1 EP300 EPO HIF1A HSP90AA1 JUN LDHA NOS3 P4HB VEGFA VHL
BIOCARTA_HSP27_PATHWAY,ACTA1 APAF1 BCL2 CASP3 CASP9 DAXX FAS FASLG HSPB1 HSPB2 IL1A MAPKAPK2 MAPKAPK3 TNF
BIOCARTA_IGF1MTOR_PATHWAY,AKT1 EIF2B5 EIF2S1 EIF2S2 EIF2S3 EIF4E EIF4EBP1 GSK3B IGF1 IGF1R INPPL1 MTOR PDK2 PDPK1 PIK3CA PIK3R1 PPP2CA PTEN RPS6KB1
BIOCARTA_IGF1R_PATHWAY,ADCY1 AKT1 BAD GRB2 HRAS IGF1R IRS1 MAP2K1 MAPK1 MAPK3 PIK3CA PIK3R1 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B RAF1 RPS6KA1 SHC1 SOS1 YWHAH
BIOCARTA_IGF1_PATHWAY,CSNK2A1 ELK1 FOS GRB2 HRAS IGF1 IGF1R IRS1 JUN MAP2K1 MAPK3 MAPK8 PIK3CA PIK3CG PIK3R1 PTPN11 RAF1 RASA1 SHC1 SOS1 SRF
BIOCARTA_IL12_PATHWAY,CCR5 CD247 CD3D CD3E CD3G CXCR3 ETV5 IFNG IL12A IL12B IL12RB1 IL12RB2 IL18 IL18R1 JAK2 JUN MAP2K6 MAPK14 MAPK8 STAT4 TYK2
BIOCARTA_IL1R_PATHWAY,CHUK ECSIT IFNB1 IKBKB IL1A IL1B IL1R1 IL1RAP IL1RN IL6 IRAK1 IRAK2 IRAK3 JUN MAP2K3 MAP2K6 MAP3K1 MAP3K7 MAPK14 MAPK8 MYD88 NFKB1 NFKBIA RELA TAB1 TGFB1 TGFB2 TGFB3 TNF TOLLIP TRAF6
BIOCARTA_IL22BP_PATHWAY,IL10RA IL22 IL22RA1 IL22RA2 JAK1 JAK2 JAK3 SOCS3 STAT1 STAT2 STAT3 STAT4 STAT5A STAT5B STAT6 TYK2
BIOCARTA_IL2RB_PATHWAY,AKT1 BAD BCL2 BCL2L1 CBL CFLAR CRKL E2F1 FAS FASLG FOS GRB2 HRAS IKZF3 IL2RA IL2RB IL2RG IRS1 JAK1 JAK3 MAPK1 MAPK3 MYC NMI PIK3CA PIK3CG PIK3R1 PPIA PTPN6 RAF1 RPS6KB1 SHC1 SOCS1 SOCS3 SOS1 STAT5A STAT5B SYK
BIOCARTA_IL2_PATHWAY,CSNK2A1 ELK1 FOS GRB2 HRAS IL2 IL2RA IL2RB IL2RG JAK1 JAK3 JUN LCK MAP2K1 MAPK3 MAPK8 RAF1 SHC1 SOS1 STAT5A STAT5B SYK
BIOCARTA_IL3_PATHWAY,CSF2RB FOS GRB2 HRAS IL3 JAK2 MAP2K1 MAPK3 PTPN6 RAF1 SHC1 SOS1 STAT5A STAT5B
BIOCARTA_IL4_PATHWAY,AKT1 GRB2 IL2RG IL4 IL4R IRS1 JAK1 JAK3 RPS6KB1 SHC1 STAT6
BIOCARTA_IL6_PATHWAY,CEBPB CSNK2A1 ELK1 FOS GRB2 HRAS IL6 IL6R IL6ST JAK1 JAK2 JAK3 JUN MAP2K1 MAPK3 PTPN11 RAF1 SHC1 SOS1 SRF STAT3 TYK2
BIOCARTA_IL7_PATHWAY,BCL2 CREBBP EP300 FYN IL2RG IL7 IL7R JAK1 JAK3 LCK NMI PIK3CA PIK3CG PIK3R1 PTK2B STAT5A STAT5B
BIOCARTA_INSULIN_PATHWAY,CSNK2A1 ELK1 FOS GRB2 HRAS INS INSR IRS1 JUN MAP2K1 MAPK3 MAPK8 PIK3CA PIK3CG PIK3R1 PTPN11 RAF1 RASA1 SHC1 SLC2A4 SOS1 SRF
BIOCARTA_INTRINSIC_PATHWAY,COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL4A6 F10 F11 F12 F2 F2R F5 F8 F9 FGA FGB FGG KLKB1 KNG1 PROC PROS1 SERPINC1 SERPING1
BIOCARTA_KERATINOCYTE_PATHWAY,BCL2 CEBPA CHUK DAXX EGF EGFR ETS1 ETS2 FAS FASLG FOS HOXA7 HRAS IKBKB JUN MAP2K1 MAP2K3 MAP2K4 MAP2K6 MAP2K7 MAP3K1 MAP3K5 MAPK1 MAPK13 MAPK14 MAPK3 MAPK8 NFKB1 NFKBIA PPP2CA PRKCA PRKCB PRKCD PRKCE PRKCG PRKCH PRKCQ RAF1 RELA RIPK1 SP1 TNF TNFRSF1A TNFRSF1B TRAF2
BIOCARTA_LAIR_PATHWAY,C3 C5 C6 C7 ICAM1 IL1A IL6 IL8 ITGA4 ITGAL ITGB1 ITGB2 KNG1 SELP SELPLG TNF VCAM1
BIOCARTA_LEPTIN_PATHWAY,ACACA CPT1A LEP LEPR PRKAA1 PRKAA2 PRKAB1 PRKAB2 PRKAG1 PRKAG2 PRKAG3
BIOCARTA_LONGEVITY_PATHWAY,AKT1 CAT FOXO3 GH1 GHR HRAS IGF1 IGF1R PIK3CA PIK3CG PIK3R1 SHC1 SOD1 SOD2 SOD3
BIOCARTA_LYM_PATHWAY,CD34 ICAM1 IL1A IL8 ITGA4 ITGAL ITGB1 ITGB2 SELL VCAM1
BIOCARTA_MAL_PATHWAY,ACTA1 CDC42 DIAPH1 HNF1A HRAS LIMK1 MAL MAP2K1 MAP2K2 MAP3K1 MAP4K2 MAPK1 MAPK3 MAPK8 RAC1 RAF1 RHOA ROCK1 SRF
BIOCARTA_MCALPAIN_PATHWAY,ACTA1 CAPN1 CAPN2 CAPNS1 CAPNS2 CXCR3 EGF EGFR EZR HRAS ITGA1 ITGB1 MAPK1 MAPK3 MYL2 MYLK PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PTK2 PXN TLN1
BIOCARTA_MET_PATHWAY,ACTA1 CRK CRKL DOCK1 ELK1 FOS GAB1 GRB2 HGF HRAS ITGA1 ITGB1 JUN MAP2K1 MAP2K2 MAP4K1 MAPK1 MAPK3 MAPK8 MET PAK1 PIK3CA PIK3CG PIK3R1 PTEN PTK2 PTK2B PTPN11 PXN RAF1 RAP1A RAPGEF1 RASA1 SOS1 SRC STAT3
BIOCARTA_MITOCHONDRIA_PATHWAY,AIFM1 APAF1 BAK1 BAX BCL2 BCL2L1 BID BIK BIRC2 BIRC3 CASP3 CASP6 CASP7 CASP8 CASP9 DFFA DFFB DIABLO ENDOG XIAP
BIOCARTA_MONOCYTE_PATHWAY,CD44 ICAM1 ITGA4 ITGAL ITGAM ITGB1 ITGB2 SELE SELL SELP
BIOCARTA_MTA3_PATHWAY,ALDOA CDH1 CTSD ESR1 GAPDH HDAC1 HSPB1 HSPB2 MBD3 MTA1 MTA3 PDZK1 SNAI1 SNAI2 TUBA1A TUBA3C TUBA4A
BIOCARTA_MTOR_PATHWAY,AKT1 EIF3A EIF4A1 EIF4A2 EIF4B EIF4E EIF4EBP1 EIF4G1 EIF4G3 MKNK1 MTOR PDK2 PDPK1 PIK3CA PIK3R1 PPP2CA PTEN RPS6KB1 TSC1 TSC2
BIOCARTA_NDKDYNAMIN_PATHWAY,AMPH AP2A1 AP2M1 BIN1 CALM1 CALM3 DNM1 EPN1 EPS15 NME1 NME2 PICALM PPP3CA PPP3CB PPP3CC SYNJ1 SYNJ2
